ID,X,Y,City,1cm,1cmyear,100cm,100cmyear,Date
4735,47,35,浪江,1.03,4.81368,1.21,5.75976,2016-10
4739,47,39,浪江,2.57,12.90792,1.88,9.28128,2016-10
4741,47,41,浪江,2.79,14.06424,3.04,15.37824,2016-10
4742,47,42,浪江,1.13,5.33928,1.76,8.65056,2016-10
4743,47,43,浪江,1.54,7.49424,1.33,6.39048,2016-10
4746,47,46,浪江,1.3,6.2328,1.58,7.70448,2016-10
4747,47,47,浪江,1.33,6.39048,2.7,13.5912,2016-10
4636,46,36,浪江,1.09,5.12904,1.27,6.07512,2016-10
4637,46,37,浪江,1.21,5.75976,1.41,6.81096,2016-10
4639,46,39,浪江,1.62,7.91472,1.81,8.91336,2016-10
4641,46,41,浪江,3.2,16.2192,2.06,10.22736,2016-10
4642,46,42,浪江,2.76,13.90656,2.98,15.06288,2016-10
4643,46,43,浪江,1.8,8.8608,1.67,8.17752,2016-10
4644,46,44,浪江,1.61,7.86216,2.38,11.90928,2016-10
4646,46,46,浪江,1.44,6.96864,1.29,6.18024,2016-10
4647,46,47,浪江,1.56,7.59936,2.09,10.38504,2016-10
4537,45,37,浪江,1.32,6.33792,1.7,8.3352,2016-10
4538,45,38,浪江,3.24,16.42944,1.8,8.8608,2016-10
4539,45,39,浪江,1.63,7.96728,1.53,7.44168,2016-10
4540,45,40,浪江,1.29,6.18024,2.52,12.64512,2016-10
4541,45,41,浪江,2.06,10.22736,3.13,15.85128,2016-10
4543,45,43,浪江,1.51,7.33656,1.66,8.12496,2016-10
4544,45,44,浪江,1.58,7.70448,1.79,8.80824,2016-10
4545,45,45,浪江,2.24,11.17344,2.13,10.59528,2016-10
4436,44,36,浪江,0.97,4.49832,1.13,5.33928,2016-10
4440,44,40,浪江,1.79,8.80824,1.01,4.70856,2016-10
4441,44,41,浪江,1.95,9.6492,2.39,11.96184,2016-10
4445,44,45,浪江,1.87,9.22872,2.16,10.75296,2016-10
4446,44,46,浪江,1.54,7.49424,1.62,7.91472,2016-10
4341,43,41,浪江,2.28,11.38368,2.06,10.22736,2016-10
4345,43,45,浪江,2.1,10.4376,2.59,13.01304,2016-10
4347,43,47,浪江,3.1,15.6936,1.57,7.65192,2016-10
4241,42,41,浪江,3.5,17.796,3.46,17.58576,2016-10
4245,42,45,浪江,2.7,13.5912,3.22,16.32432,2016-10
4246,42,46,浪江,1.01,4.70856,1.93,9.54408,2016-10
4247,42,47,浪江,,-0.6,,-0.6,2016-10
4142,41,42,浪江,3.27,16.58712,5.14,26.41584,2016-10
4042,40,42,浪江,3.01,15.22056,5.03,25.83768,2016-10
4044,40,44,浪江,4.51,23.10456,3.84,19.58304,2016-10
3942,39,42,浪江,2.15,10.7004,3.83,19.53048,2016-10
3943,39,43,浪江,7.23,37.40088,4.25,21.738,2016-10
3843,38,43,浪江,3.69,18.79464,3.15,15.9564,2016-10
3744,37,44,浪江,4.28,21.89568,2.98,15.06288,2016-10
3745,37,45,浪江,4.07,20.79192,3.05,15.4308,2016-10
3746,37,46,浪江,2.5,12.54,3.72,18.95232,2016-10
