ID, Y, X, City, 1cm, 1cmyear, 100cm, 100cmyear, Date
0930,09,30,原町,0.14,0.13584,0.11,-0.02184,2019-04
0931,09,31,原町,0.11,-0.02184,0.14,0.13584,2019-04
0932,09,32,原町,0.17,0.29352,0.11,-0.02184,2019-04
0933,09,33,原町,0.12,0.03072,0.15,0.1884,2019-04
0934,09,34,原町,0.13,0.08328,0.14,0.13584,2019-04
0935,09,35,原町,0.12,0.03072,0.16,0.24096,2019-04
0936,09,36,原町,0.18,0.34608,0.16,0.24096,2019-04
0937,09,37,原町,0.11,-0.02184,0.14,0.13584,2019-04
0938,09,38,原町,0.15,0.1884,0.15,0.1884,2019-04
0939,09,39,小高,0.24,0.66144,0.16,0.24096,2019-04
0940,09,40,小高,0.15,0.1884,0.1,-0.0744,2019-04
0941,09,41,小高,0.14,0.13584,0.12,0.03072,2019-04
0942,09,42,小高,0.12,0.03072,0.11,-0.02184,2019-04
0943,09,43,小高,0.14,0.13584,0.12,0.03072,2019-04
0944,09,44,小高,0.22,0.55632,0.16,0.24096,2019-04
0945,09,45,小高,0.15,0.1884,0.17,0.29352,2019-04
0946,09,46,小高,0.13,0.08328,0.12,0.03072,2019-04
0947,09,47,小高,0.23,0.60888,0.14,0.13584,2019-04
0949,09,49,小高,0.13,0.08328,0.12,0.03072,2019-04
0950,09,50,小高,0.14,0.13584,0.1,-0.0744,2019-04
0951,09,51,小高,0.18,0.34608,0.1,-0.0744,2019-04
0952,09,52,小高,0.19,0.39864,0.16,0.24096,2019-04
0953,09,53,小高,0.18,0.34608,0.13,0.08328,2019-04
1004,10,04,鹿島,0.07,-0.23208,0.12,0.03072,2019-04
1005,10,05,鹿島,0.08,-0.17952,0.16,0.24096,2019-04
1006,10,06,鹿島,0.2,0.4512,0.12,0.03072,2019-04
1007,10,07,鹿島,0.11,-0.02184,0.09,-0.12696,2019-04
1008,10,08,鹿島,0.14,0.13584,0.15,0.1884,2019-04
1009,10,09,鹿島,0.11,-0.02184,0.12,0.03072,2019-04
1010,10,10,鹿島,0.13,0.08328,0.09,-0.12696,2019-04
1011,10,11,鹿島,0.1,-0.0744,0.11,-0.02184,2019-04
1012,10,12,鹿島,0.07,-0.23208,0.07,-0.23208,2019-04
1013,10,13,鹿島,0.11,-0.02184,0.08,-0.17952,2019-04
1014,10,14,鹿島,0.08,-0.17952,0.1,-0.0744,2019-04
1015,10,15,原町,0.12,0.03072,0.14,0.13584,2019-04
1016,10,16,原町,0.17,0.29352,0.17,0.29352,2019-04
1017,10,17,原町,0.11,-0.02184,0.14,0.13584,2019-04
1018,10,18,原町,0.09,-0.12696,0.13,0.08328,2019-04
1019,10,19,原町,0.18,0.34608,0.18,0.34608,2019-04
1020,10,20,原町,0.14,0.13584,0.12,0.03072,2019-04
1021,10,21,原町,0.11,-0.02184,0.17,0.29352,2019-04
1022,10,22,原町,0.13,0.08328,0.18,0.34608,2019-04
1023,10,23,原町,0.18,0.34608,0.2,0.4512,2019-04
1024,10,24,原町,0.12,0.03072,0.14,0.13584,2019-04
1025,10,25,原町,0.15,0.1884,0.16,0.24096,2019-04
1026,10,26,原町,0.32,1.08192,0.16,0.24096,2019-04
1027,10,27,原町,0.09,-0.12696,0.16,0.24096,2019-04
1028,10,28,原町,0.15,0.1884,0.12,0.03072,2019-04
1031,10,31,原町,0.12,0.03072,0.15,0.1884,2019-04
1032,10,32,原町,0.13,0.08328,0.13,0.08328,2019-04
